start_ts,end_ts,src_ip,dst_ip,src_port,dst_port,protocol,tos,tcp_flags,packet_count,bytes,router_in_port,router_out_port
1361951998.056,1361951998.056,205.55.138.110,41.43.208.46,48333,12596,17,32,0,1,349,57,50
1361951998.056,1361951998.056,232.52.129.228,7.35.157.42,6969,34279,6,0,0,1,46,76,50
1361951998.056,1361951998.056,205.221.198.101,41.43.219.5,80,53411,6,0,0,1,52,57,50
1361951998.056,1361951998.056,41.43.194.178,206.91.4.150,55951,80,6,0,0,1,46,49,78
1361951998.056,1361951998.056,41.43.223.56,161.149.142.204,3074,3074,17,0,0,1,60,49,57
1361951998.056,1361951998.056,127.80.158.104,248.207.48.41,53,36935,17,0,0,1,118,78,49
1361951998.056,1361951998.056,41.43.197.165,70.253.14.89,3074,3074,17,0,0,1,60,49,57
1361951998.056,1361951998.056,23.218.54.243,41.43.210.199,40540,42497,17,32,0,1,51,57,50
1361951998.120,1361951998.120,41.43.194.178,206.91.40.99,55968,80,6,0,0,1,46,49,57
1361951998.056,1361951998.056,41.43.196.74,215.123.229.92,443,50587,6,0,0,1,48,49,57
1361951998.632,1361951998.632,160.85.186.194,7.35.250.150,53,45973,17,0,0,1,93,78,50
1361951998.632,1361951998.632,248.207.38.29,67.44.179.178,53,51905,17,0,0,1,231,50,57
1361951998.056,1361951998.056,7.35.48.174,208.99.221.253,53,6071,17,0,0,1,186,49,78
1361951998.056,1361951998.056,41.43.218.101,18.141.178.80,62152,443,6,0,0,1,46,49,78
1361951998.056,1361951998.056,7.35.93.113,127.71.34.128,58981,53,17,0,0,1,81,49,57
1361951998.056,1361951998.056,68.247.137.147,248.207.38.29,55894,53,17,0,0,1,72,57,49
1361951998.055,1361951998.055,248.207.38.29,68.247.137.147,53,55894,17,0,0,1,107,50,57
1361951998.055,1361951998.055,41.43.218.230,117.87.121.227,55454,56317,6,0,0,1,46,49,78
1361951998.055,1361951998.055,7.35.48.174,189.238.253.198,53,60607,17,0,0,1,181,49,57
1361951998.055,1361951998.055,241.20.1.110,7.35.1.30,80,56187,6,32,0,1,52,57,49
1361951998.055,1361951998.055,24.244.207.190,41.43.196.31,80,41284,6,0,0,1,60,78,50
1361951997.607,1361951997.607,248.207.38.29,166.79.33.193,53,52903,17,0,0,1,157,49,78
1361951998.055,1361951998.055,23.249.115.190,41.43.208.226,4756,28170,17,32,0,1,95,57,50
1361951998.119,1361951998.119,191.170.92.232,7.35.48.163,53,30937,17,0,0,1,620,78,49
1361951998.055,1361951998.055,7.35.157.40,30.100.17.249,203,123,17,0,0,1,76,50,57
1361951998.055,1361951998.055,250.11.253.28,7.35.1.30,9909,9909,17,0,0,1,46,76,49
1361951998.055,1361951998.055,160.85.186.194,248.207.48.41,53,23887,17,0,0,1,223,78,49
1361951998.119,1361951998.119,238.137.214.40,7.35.157.44,40043,15420,17,0,0,1,48,76,49
1361951998.119,1361951998.119,66.107.129.0,248.207.38.29,61913,53,17,0,0,1,70,78,50
1361951998.119,1361951998.119,160.94.137.243,7.35.93.70,53,30889,17,0,0,1,258,78,50
1361951998.119,1361951998.119,72.67.229.94,7.35.9.131,11188,54355,17,32,0,1,50,57,50
1361951998.119,1361951998.119,101.62.176.135,7.35.251.59,52860,443,6,32,0,1,52,57,50
1361951998.119,1361951998.119,24.244.207.240,41.43.196.31,80,41288,6,0,0,1,60,78,50
1361951998.119,1361951998.119,7.35.48.163,191.170.92.232,51454,53,17,0,0,1,71,50,78
1361951998.119,1361951998.119,250.11.253.28,7.35.1.13,9909,9909,17,0,0,1,46,76,50
1361951998.119,1361951998.119,7.35.93.70,160.94.137.243,30889,53,17,0,0,1,80,49,78
1361951998.119,1361951998.119,223.2.50.216,7.35.157.41,52392,30831,6,32,0,1,48,57,50
1361951998.119,1361951998.119,7.35.48.163,191.170.92.232,32408,53,17,0,0,1,71,50,78
1361951998.119,1361951998.119,7.35.48.163,180.102.143.190,55299,53,17,0,0,1,71,50,78
1361951998.119,1361951998.119,180.132.174.164,41.43.217.111,18601,23085,17,0,0,1,126,78,50
1361951998.119,1361951998.119,18.141.178.80,41.43.196.31,80,41300,6,0,0,1,60,78,50
1361951998.119,1361951998.119,7.35.1.30,84.239.174.17,51413,51413,17,0,0,1,296,49,57
1361951998.119,1361951998.119,87.254.43.255,7.35.156.228,27840,1887,17,32,0,1,145,57,50
1361951998.119,1361951998.119,77.19.144.3,7.35.48.174,50930,53,17,32,0,1,87,57,50
1361951998.119,1361951998.119,7.35.156.246,100.230.220.232,53122,7005,17,0,0,1,142,49,78
1361951998.119,1361951998.119,7.35.48.174,77.19.144.3,53,50930,17,0,0,1,183,49,78
